Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
198,1:43.26,,Sammy Kibet LANGAT,24 JAN 1970,KEN,1f2,,Zürich (SUI),1996-08-14,1227,1996,103.25999999999999
198,1:43.26,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3,,"Stade Louis II, Monaco (MON)",2008-07-29,1227,2008,103.25999999999999
198,1:43.26,,Marco AROP,20 SEP 1998,CAN,3,,"Stade Louis II, Monaco (MON)",2021-07-09,1227,2021,103.25999999999999
198,1:43.26,,Emmanuel Kipkurui KORIR,15 JUN 1995,KEN,1,,"Letzigrund, Zürich (SUI)",2022-09-08,1227,2022,103.25999999999999
202,1:43.27,,Duane SOLOMON,28 DEC 1984,USA,1,,"Drake Stadium, Des Moines, IA (USA)",2013-06-23,1227,2013,103.27000000000001
202,1:43.27,,Nijel AMOS,15 MAR 1994,BOT,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2015-07-09,1227,2015,103.27000000000001
202,1:43.27,,Emmanuel WANYONYI,01 AUG 2004,KEN,1,,"Stade Charléty, Paris (FRA)",2023-06-09,1227,2023,103.27000000000001
205,1:43.28,,Johnny GRAY,19 JUN 1960,USA,2,,Bruxelles (BEL),1984-08-24,1226,1984,103.28
205,1:43.28,,Johnny GRAY,19 JUN 1960,USA,3,,Köln (GER),1984-08-26,1226,1984,103.28
205,1:43.28,,Sammy KOSKEI,14 MAY 1961,KEN,2,,Koblenz (GER),1984-08-29,1226,1984,103.28
205,1:43.28,,Wilson KIPKETER,12 DEC 1972,DEN,4,,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,1226,2003,103.28
205,1:43.28,,Nijel AMOS,15 MAR 1994,BOT,1,,"Olympiastadion, Berlin (GER)",2015-09-06,1226,2015,103.28
210,1:43.29,,Wilson KIPKETER,12 DEC 1972,KEN,1,,"Bislett Stadion, Oslo (NOR)",1994-07-22,1226,1994,103.28999999999999
210,1:43.29,,William YIAMPOY,17 MAY 1974,KEN,2f1,,Zürich (SUI),2004-08-06,1226,2004,103.28999999999999
210,1:43.29,,Boaz Kiplagat LALANG,08 FEB 1989,KEN,2,,"Stade Louis II, Monaco (MON)",2010-07-22,1226,2010,103.28999999999999
210,1:43.29,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3,,"Stade Louis II, Monaco (MON)",2010-07-22,1226,2010,103.28999999999999
210,1:43.29,,Nijel AMOS,15 MAR 1994,BOT,4,,"Olympic Stadium, London (GBR)",2018-07-22,1226,2018,103.28999999999999
215,1:43.30,,William TANUI,22 FEB 1964,KEN,2,,Rieti (ITA),1991-09-06,1226,1991,103.3
215,1:43.30,,Wilson KIPKETER,12 DEC 1972,DEN,1,,"La Cartuja, Sevilla (ESP)",1999-08-29,1226,1999,103.3
215,1:43.30,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,6f1,,"Letzigrund, Zürich (SUI)",2001-08-17,1226,2001,103.3
215,1:43.30,,Adam KSZCZOT,02 SEP 1989,POL,2f1,,"Stadio Guidobaldi, Rieti (ITA)",2011-09-10,1226,2011,103.3
215,1:43.30,,Marco AROP,20 SEP 1998,CAN,2,,"Stade Charléty, Paris (FRA)",2023-06-09,1226,2023,103.3
220,1:43.31,,Nixon KIPROTICH,04 DEC 1962,KEN,1,,Rieti (ITA),1992-09-06,1226,1992,103.31
220,1:43.31,,André BUCHER,19 OCT 1976,SUI,2f1,,Bruxelles (BEL),2000-08-25,1226,2000,103.31
220,1:43.31,,Wilfred BUNGEI,24 JUL 1980,KEN,2f1,,Rieti (ITA),2006-08-27,1226,2006,103.31
220,1:43.31,,Mohammed AMAN,10 JAN 1994,ETH,1,,"Luzhniki Stadion, Moskva (RUS)",2013-08-13,1226,2013,103.31
220,1:43.31,,David RUDISHA,17 DEC 1988,KEN,1,,"Olympiastadion, Berlin (GER)",2016-09-03,1226,2016,103.31
225,1:43.32,,Hezekiel SEPENG,30 JUN 1974,RSA,2,,"La Cartuja, Sevilla (ESP)",1999-08-29,1225,1999,103.32
225,1:43.32,,Djabir SAID-GUERNI,29 MAR 1977,ALG,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2000-07-05,1225,2000,103.32
225,1:43.32,,Abubaker KAKI,21 JUN 1989,SUD,7,,"Olympic Stadium, London (GBR)",2012-08-09,1225,2012,103.32
225,1:43.32,,Emmanuel WANYONYI,01 AUG 2004,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2023-05-13,1225,2023,103.32
229,1:43.33,,Johnny GRAY,19 JUN 1960,USA,3,,Köln (GER),1985-08-25,1225,1985,103.33
229,1:43.33,,Robert CHIRCHIR,26 NOV 1972,KEN,3,,Stuttgart (GER),1998-07-19,1225,1998,103.33
229,1:43.33,,William CHIRCHIR,06 FEB 1979,KEN,6,,Bruxelles (BEL),1999-09-03,1225,1999,103.33
229,1:43.33,,Joseph Mwengi MUTUA,10 DEC 1978,KEN,1f1,,Zürich (SUI),2002-08-16,1225,2002,103.33
229,1:43.33,,Mohammed AMAN,10 JAN 1994,ETH,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2013-07-04,1225,2013,103.33
234,1:43.34,,José Luis BARBOSA,27 MAY 1961,BRA,1,,Koblenz (GER),1988-08-28,1225,1988,103.34
234,1:43.34,,Wilson KIPKETER,12 DEC 1972,DEN,1,,Berlin (GER),1996-08-30,1225,1996,103.34
234,1:43.34,,André BUCHER,19 OCT 1976,SUI,1,,"Stade de France, Paris-St-Denis (FRA)",2001-07-06,1225,2001,103.34
234,1:43.34,,Asbel KIPROP,30 JUN 1989,KEN,1,,"Stade de France, Paris-St-Denis (FRA)",2014-07-05,1225,2014,103.34
234,1:43.34,,David RUDISHA,17 DEC 1988,KEN,1,,"Hampden Park, Glasgow (GBR)",2014-07-12,1225,2014,103.34
234,1:43.34,,Boris BERIAN,19 DEC 1992,USA,4,,"Stade Louis II, Monaco (MON)",2015-07-17,1225,2015,103.34
240,1:43.35,,David MACK,30 MAY 1961,USA,3f1,,Koblenz (GER),1985-08-28,1224,1985,103.35
240,1:43.35,,Wilson KIPKETER,12 DEC 1972,DEN,3f1,,Bruxelles (BEL),2000-08-25,1224,2000,103.35
240,1:43.35,,Joseph Mwengi MUTUA,10 DEC 1978,KEN,1,,Rieti (ITA),2004-09-05,1224,2004,103.35
240,1:43.35,,David RUDISHA,17 DEC 1988,KEN,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",2016-07-18,1224,2016,103.35
244,1:43.36,,Johnny GRAY,19 JUN 1960,USA,1f2,,Zürich (SUI),1995-08-16,1224,1995,103.36
244,1:43.36,,William YIAMPOY,17 MAY 1974,KEN,2,,Bruxelles (BEL),2002-08-30,1224,2002,103.36
244,1:43.36,,Amine LAALOU,13 MAY 1982,MAR,2,,"FBK Stadium, Hengelo (NED)",2009-06-01,1224,2009,103.36
247,1:43.37,,William TANUI,22 FEB 1964,KEN,2,,Rieti (ITA),1992-09-06,1224,1992,103.37
247,1:43.37,,David RUDISHA,17 DEC 1988,KEN,1,,"Poljud Stadion, Split (CRO)",2010-09-05,1224,2010,103.37
247,1:43.37,,Mohammed AMAN,10 JAN 1994,ETH,3f1,,"Stadio Guidobaldi, Rieti (ITA)",2011-09-10,1224,2011,103.37
247,1:43.37,,Nicholas Kiplangat KIPKOECH,22 OCT 1992,KEN,1,,Nairobi (KEN),2016-04-29,1224,2016,103.37
251,1:43.38,,Nixon KIPROTICH,04 DEC 1962,KEN,2f1,,"Letzigrund, Zürich (SUI)",1989-08-16,1223,1989,103.38
251,1:43.38,,Sebastian COE,29 SEP 1956,GBR,1,,Bern (SUI),1989-08-29,1223,1989,103.38
251,1:43.38,,David KIPTOO SINGOEI,25 JUN 1965,KEN,2,,Monaco (MON),1996-08-10,1223,1996,103.38
251,1:43.38,,Wilson KIPKETER,12 DEC 1972,DEN,1,,"Olympic Stadium, Athina (GRE)",1997-08-08,1223,1997,103.38
251,1:43.38,,Rich KENAH,04 AUG 1970,USA,3f1,,Zürich (SUI),1997-08-13,1223,1997,103.38
251,1:43.38,,Arthémon HATUNGIMANA,21 JAN 1974,BDI,3,,Bruxelles (BEL),2001-08-24,1223,2001,103.38
251,1:43.38,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1f1,,Zürich (SUI),2006-08-18,1223,2006,103.38
251,1:43.38,,Marco AROP,20 SEP 1998,CAN,2,,"Letzigrund, Zürich (SUI)",2022-09-08,1223,2022,103.38
251,1:43.38,,Slimane MOULA,25 FEB 1999,ALG,3,,"Stade Charléty, Paris (FRA)",2023-06-09,1223,2023,103.38
260,1:43.39,,Billy KONCHELLAH,20 OCT 1961,KEN,1f1,,"Letzigrund, Zürich (SUI)",1987-08-19,1223,1987,103.39
260,1:43.39,,Johnny GRAY,19 JUN 1960,USA,1f1,,Oslo (NOR),1989-07-01,1223,1989,103.39
260,1:43.39,,William TANUI,22 FEB 1964,KEN,1,,Bruxelles (BEL),1990-08-10,1223,1990,103.39
260,1:43.39,,Patrick KONCHELLAH,20 APR 1968,KEN,2,,Linz (AUT),1997-07-09,1223,1997,103.39
264,1:43.40,,Mark EVERETT,02 SEP 1968,USA,1,,Oslo (NOR),1992-07-04,1223,1992,103.4
264,1:43.40,,Leonard Kirwa KOSENCHA,21 AUG 1994,KEN,2,,"Stade Louis II, Monaco (MON)",2012-07-20,1223,2012,103.4
264,1:43.40,,Djamel SEDJATI,03 MAY 1999,ALG,4,,"Stade Charléty, Paris (FRA)",2023-06-09,1223,2023,103.4
264,1:43.40,,Slimane MOULA,25 FEB 1999,ALG,2,,"Stade Louis II, Monaco (MON)",2023-07-21,1223,2023,103.4
268,1:43.41,,Peter ELLIOTT,09 OCT 1962,GBR,2,,"Stadio Olimpico, Roma (ITA)",1987-09-01,1222,1987,103.41
268,1:43.41,,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,4,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-15,1222,2016,103.41
270,1:43.42,,Steve CRAM,14 OCT 1960,GBR,3f1,,"Letzigrund, Zürich (SUI)",1988-08-17,1222,1988,103.42
270,1:43.42,,David KIPTOO SINGOEI,25 JUN 1965,KEN,2,,Rieti (ITA),1996-09-01,1222,1996,103.42
270,1:43.42,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,"Olympic Stadium, Athina (GRE)",2006-07-03,1222,2006,103.42
273,1:43.43,,Johnny GRAY,19 JUN 1960,USA,3f1,,"Letzigrund, Zürich (SUI)",1985-08-21,1222,1985,103.43
273,1:43.43,,Yusuf Saad KAMEL,29 MAR 1983,BRN,2,,Rieti (ITA),2004-09-05,1222,2004,103.43
273,1:43.43,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,4,,"Stade de France, Paris-St-Denis (FRA)",2016-08-27,1222,2016,103.43
276,1:43.44,,Hezekiel SEPENG,30 JUN 1974,RSA,1f2,,Zürich (SUI),1997-08-13,1221,1997,103.44
276,1:43.44,,Duane SOLOMON,28 DEC 1984,USA,3,,"Stade Louis II, Monaco (MON)",2012-07-20,1221,2012,103.44
276,1:43.44,,Jesus Tonatiu LOPEZ,02 AUG 1997,MEX,1,,"Marietta HS, Marietta, GA (USA)",2021-07-09,1221,2021,103.44
279,1:43.45,,Paul ERENG,22 AUG 1967,KEN,1,,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-26,1221,1988,103.45
279,1:43.45,,Benson KOECH,10 NOV 1974,KEN,2f2,,Zürich (SUI),1995-08-16,1221,1995,103.45
279,1:43.45,,Patrick NDURURI,12 JAN 1969,KEN,2,,Fukuoka (JPN),1997-09-13,1221,1997,103.45
279,1:43.45,,Bram SOM,20 FEB 1980,NED,2f1,,Zürich (SUI),2006-08-18,1221,2006,103.45
279,1:43.45,,Asbel KIPROP,30 JUN 1989,KEN,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",2010-05-14,1221,2010,103.45
279,1:43.45,,Adam KSZCZOT,02 SEP 1989,POL,5,,"Stade Louis II, Monaco (MON)",2015-07-17,1221,2015,103.45
285,1:43.46,,Johnny GRAY,19 JUN 1960,USA,1,,"Letzigrund, Zürich (SUI)",1986-08-13,1221,1986,103.46000000000001
285,1:43.46,,Arthémon HATUNGIMANA,21 JAN 1974,BDI,2f2,,Zürich (SUI),1996-08-14,1221,1996,103.46000000000001
285,1:43.46,,David RUDISHA,17 DEC 1988,KEN,1,,"Stade Raymond Petit, Tomblaine (FRA)",2011-06-24,1221,2011,103.46000000000001
285,1:43.46,,Jonathan KITILIT,06 JUL 1995,KEN,1,,Nairobi (KEN),2018-06-23,1221,2018,103.46000000000001
289,1:43.47,,Hezekiel SEPENG,30 JUN 1974,RSA,1,,"Durham, NC (USA)",1996-07-13,1221,1996,103.47
289,1:43.47,,Hezekiel SEPENG,30 JUN 1974,RSA,3,,"Stade Louis II, Monaco (MON)",2001-07-20,1221,2001,103.47
289,1:43.47,,Amel TUKA,09 JAN 1991,BIH,2,,"Khalifa International Stadium, Doha (QAT)",2019-10-01,1221,2019,103.47
292,1:43.48,,Wilfred BUNGEI,24 JUL 1980,KEN,1,,"Boudewijnstadion, Bruxelles (BEL)",2004-09-03,1220,2004,103.47999999999999
292,1:43.48,,Asbel KIPROP,30 JUN 1989,KEN,1,,"Olympic Stadium, Athina (GRE)",2009-07-13,1220,2009,103.47999999999999
292,1:43.48,,Abubaker KAKI,21 JUN 1989,SUD,1f1,,Torino (ITA),2010-06-12,1220,2010,103.47999999999999
292,1:43.48,,Jonathan KITILIT,06 JUL 1995,KEN,2,,Nairobi (KEN),2016-04-29,1220,2016,103.47999999999999
292,1:43.48,,Wyclife KINYAMAL,02 JUL 1997,KEN,2,,"Olympic Stadium, London (GBR)",2019-07-20,1220,2019,103.47999999999999
292,1:43.48,,Benjamin ROBERT,04 JAN 1998,FRA,5,,"Stade Charléty, Paris (FRA)",2023-06-09,1220,2023,103.47999999999999
298,1:43.49,,José Luis BARBOSA,27 MAY 1961,BRA,2,,Hengelo (NED),1988-08-14,1220,1988,103.49000000000001
299,1:43.50,,Alberto JUANTORENA,03 DEC 1950,CUB,1,,"Olympic Stadium, Montréal (CAN)",1976-07-25,1220,1976,103.5
299,1:43.50,,Vebjørn RODAL,16 SEP 1972,NOR,2,,"Bislett Stadion, Oslo (NOR)",1994-07-22,1220,1994,103.5
299,1:43.50,,Patrick KONCHELLAH,20 APR 1968,KEN,2,,Bruxelles (BEL),1997-08-22,1220,1997,103.5
299,1:43.50,,El-Mahjoub HAIDA,01 JUL 1970,MAR,2,,"Stadio Olimpico, Roma (ITA)",1998-07-14,1220,1998,103.5
299,1:43.50,,William YIAMPOY,17 MAY 1974,KEN,2,,"Boudewijnstadion, Bruxelles (BEL)",2004-09-03,1220,2004,103.5
299,1:43.50,,Abubaker KAKI,21 JUN 1989,SUD,1,,"Stade Louis II, Monaco (MON)",2009-07-28,1220,2009,103.5
299,1:43.50,,Abubaker KAKI,21 JUN 1989,SUD,1,,"Stade de France, Paris-St-Denis (FRA)",2010-07-16,1220,2010,103.5
299,1:43.50,,David RUDISHA,17 DEC 1988,KEN,1,,"Boudewijnstadion, Bruxelles (BEL)",2010-08-27,1220,2010,103.5
299,1:43.50,,Mohammed AMAN,10 JAN 1994,ETH,1,,Milano (ITA),2011-09-18,1220,2011,103.5
308,1:43.51,,Sammy KOSKEI,14 MAY 1961,KEN,2f1,,Zürich (SUI),1984-08-22,1219,1984,103.50999999999999
308,1:43.51,,Johnny GRAY,19 JUN 1960,USA,2,,Oslo (NOR),1992-07-04,1219,1992,103.50999999999999
308,1:43.51,,Mohammed AMAN,10 JAN 1994,ETH,1,,Daegu (KOR),2012-05-16,1219,2012,103.50999999999999
308,1:43.51,,Brandon MCBRIDE,15 JUN 1994,CAN,3,,"Letzigrund, Zürich (SUI)",2019-08-29,1219,2019,103.50999999999999
308,1:43.51,,Marco AROP,20 SEP 1998,CAN,3,,"Stade Louis II, Monaco (MON)",2023-07-21,1219,2023,103.50999999999999
308,1:43.51,,Djamel SEDJATI,03 MAY 1999,ALG,1,,"Mestský Stadion, Ostrava (CZE)",2024-05-28,1219,2024,103.50999999999999
314,1:43.52,,Joseph Mwengi MUTUA,10 DEC 1978,KEN,5,,"Boudewijnstadion, Bruxelles (BEL)",2003-09-05,1219,2003,103.52000000000001
314,1:43.52,,Bram SOM,20 FEB 1980,NED,3f1,,Rieti (ITA),2006-08-27,1219,2006,103.52000000000001
314,1:43.52,,David RUDISHA,17 DEC 1988,KEN,1,,"Letzigrund, Zürich (SUI)",2009-08-28,1219,2009,103.52000000000001
314,1:43.52,,Mohammed AMAN,10 JAN 1994,ETH,1,,"Olympiastadion, Berlin (GER)",2014-08-31,1219,2014,103.52000000000001
314,1:43.52,,Ayanleh SOULEIMAN,03 DEC 1992,DJI,5,,"Stade de France, Paris-St-Denis (FRA)",2016-08-27,1219,2016,103.52000000000001
314,1:43.52,,Max BURGIN,20 MAY 2002,GBR,1f1,,"Paavo Nurmen Stadion, Turku (FIN)",2022-06-14,1219,2022,103.52000000000001
320,1:43.53,,David RUDISHA,17 DEC 1988,KEN,3,,"FBK Stadium, Hengelo (NED)",2009-06-01,1219,2009,103.53
320,1:43.53,,Taoufik MAKHLOUFI,29 APR 1988,ALG,2,,"Olympiastadion, Berlin (GER)",2014-08-31,1219,2014,103.53
320,1:43.53,,Jonathan KITILIT,06 JUL 1995,KEN,2,,"Alexander Stadium, Birmingham (GBR)",2018-08-18,1219,2018,103.53
320,1:43.53,,Marco AROP,20 SEP 1998,CAN,1h2,,"Complexe Sportif Claude-Robillard, Montréal (CAN)",2024-06-28,1219,2024,103.53
324,1:43.54,,William WUYCKE,21 MAY 1958,VEN,2,,Rieti (ITA),1986-09-07,1218,1986,103.53999999999999
324,1:43.54,,Nixon KIPROTICH,04 DEC 1962,KEN,1f1,,Rieti (ITA),1993-09-05,1218,1993,103.53999999999999
324,1:43.54,,Wilson KIPKETER,12 DEC 1972,DEN,1f1,,"Stadio Olimpico, Roma (ITA)",1997-06-05,1218,1997,103.53999999999999
324,1:43.54,,Wyclife KINYAMAL,02 JUL 1997,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2022-06-25,1218,2022,103.53999999999999
328,1:43.55,,Nixon KIPROTICH,04 DEC 1962,KEN,1,,Köln (GER),1992-08-16,1218,1992,103.55
328,1:43.55,,Philip KIBITOK,23 MAR 1971,KEN,3,,Rieti (ITA),1996-09-01,1218,1996,103.55
328,1:43.55,,Wilson KIPKETER,12 DEC 1972,DEN,1,,"Olympiastadion, München (GER)",1999-09-11,1218,1999,103.55
328,1:43.55,,Nick SYMMONDS,30 DEC 1983,USA,2,,"Luzhniki Stadion, Moskva (RUS)",2013-08-13,1218,2013,103.55
328,1:43.55,,Donavan BRAZIER,15 APR 1997,USA,1,,"Eugene, OR (USA)",2016-06-10,1218,2016,103.55
328,1:43.55,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,5,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-15,1218,2016,103.55
328,1:43.55,,Aaron Kemei CHEMININGWA,21 JUN 1998,KEN,1,,"Campo di Atletica, Asti (ITA)",2024-05-23,1218,2024,103.55
335,1:43.56,,Rob DRUPPERS,29 APR 1962,NED,4,,Köln (GER),1985-08-25,1218,1985,103.56
335,1:43.56,,Arthémon HATUNGIMANA,21 JAN 1974,BDI,2f1,,Zürich (SUI),1995-08-16,1218,1995,103.56
335,1:43.56,,Vebjørn RODAL,16 SEP 1972,NOR,2f1,,Zürich (SUI),1996-08-14,1218,1996,103.56
335,1:43.56,,Arthémon HATUNGIMANA,21 JAN 1974,BDI,2f2,,Zürich (SUI),1997-08-13,1218,1997,103.56
335,1:43.56,,Mohammed AMAN,10 JAN 1994,ETH,1f1,,"Olympiastadion, Stockholm (SWE)",2012-08-17,1218,2012,103.56
335,1:43.56,,Nick SYMMONDS,30 DEC 1983,USA,1,,"Letzigrund, Zürich (SUI)",2013-08-29,1218,2013,103.56
335,1:43.56,,Mohammed AMAN,10 JAN 1994,ETH,1,,"Stadio Olimpico, Roma (ITA)",2015-06-04,1218,2015,103.56
335,1:43.56,,Robert BIWOTT,28 JAN 1996,KEN,2f1,,Barcelona (ESP),2015-07-08,1218,2015,103.56
335,1:43.56,,Wyclife KINYAMAL,02 JUL 1997,KEN,6,,"Stade Charléty, Paris (FRA)",2023-06-09,1218,2023,103.56
344,1:43.57,,Mike BOIT,06 JAN 1949,KEN,1,,Berlin (GER),1976-08-20,1217,1976,103.57
344,1:43.57,,El-Mahjoub HAIDA,01 JUL 1970,MAR,3f2,,Zürich (SUI),1995-08-16,1217,1995,103.57
344,1:43.57,,Joseph TENGELEI,08 DEC 1972,KEN,4f2,,Zürich (SUI),1995-08-16,1217,1995,103.57
344,1:43.57,,Patrick NDURURI,12 JAN 1969,KEN,4,,Köln (GER),1997-08-24,1217,1997,103.57
344,1:43.57,,David RUDISHA,17 DEC 1988,KEN,2,,Milano (ITA),2011-09-18,1217,2011,103.57
344,1:43.57,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,4,,"Stade Louis II, Monaco (MON)",2021-07-09,1217,2021,103.57
344,1:43.57,,Emmanuel WANYONYI,01 AUG 2004,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",2024-04-20,1217,2024,103.57
351,1:43.58,,André BUCHER,19 OCT 1976,SUI,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2001-07-04,1217,2001,103.58
351,1:43.58,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,2,,"Stade Louis II, Monaco (MON)",2009-07-28,1217,2009,103.58
351,1:43.58,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2010-07-08,1217,2010,103.58
351,1:43.58,,Mohammed AMAN,10 JAN 1994,ETH,1,,Rabat (MAR),2012-05-27,1217,2012,103.58
351,1:43.58,,David RUDISHA,17 DEC 1988,KEN,1,,"Icahn Stadium, New York, NY (USA)",2015-06-13,1217,2015,103.58
351,1:43.58,,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,6,,"Stade de France, Paris-St-Denis (FRA)",2016-08-27,1217,2016,103.58
357,1:43.59,,Johnny GRAY,19 JUN 1960,USA,1f1,,Rieti (ITA),1984-09-02,1217,1984,103.59
357,1:43.59,,Wilson KIPKETER,12 DEC 1972,DEN,2f1,,Zürich (SUI),2002-08-16,1217,2002,103.59
357,1:43.59,,Wilfred BUNGEI,24 JUL 1980,KEN,2,,"Olympic Stadium, Athina (GRE)",2006-07-03,1217,2006,103.59
357,1:43.59,,Bram SOM,20 FEB 1980,NED,4f1,,Rieti (ITA),2009-09-06,1217,2009,103.59
361,1:43.60,,Paul ERENG,22 AUG 1967,KEN,1,,"Crystal Palace, London (GBR)",1989-07-14,1217,1989,103.6
361,1:43.60,,Abdi BILE,28 DEC 1962,SOM,3f1,,"Letzigrund, Zürich (SUI)",1989-08-16,1217,1989,103.6
361,1:43.60,,David KIPTOO SINGOEI,25 JUN 1965,KEN,4f1,,Zürich (SUI),1998-08-12,1217,1998,103.6
361,1:43.60,,Leonard Kirwa KOSENCHA,21 AUG 1994,KEN,2,,Rabat (MAR),2012-05-27,1217,2012,103.6
361,1:43.60,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,1,,Nairobi (KEN),2015-08-01,1217,2015,103.6
361,1:43.60,,Clayton MURPHY,26 FEB 1995,USA,1f1,,"Torrance, CA (USA)",2017-04-15,1217,2017,103.6
361,1:43.60,,Djamel SEDJATI,03 MAY 1999,ALG,1,,"Boudewijnstadion, Bruxelles (BEL)",2023-09-08,1217,2023,103.6
368,1:43.61,,Steve CRAM,14 OCT 1960,GBR,1,,Oslo (NOR),1983-08-23,1216,1983,103.61
368,1:43.61,,Japheth KIMUTAI,20 DEC 1978,KEN,3,,"Stadio Olimpico, Roma (ITA)",1998-07-14,1216,1998,103.61
368,1:43.61,,Yusuf Saad KAMEL,29 MAR 1983,BRN,4f1,,Rieti (ITA),2006-08-27,1216,2006,103.61
368,1:43.61,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,2f1,,Jerez de la Frontera (ESP),2008-06-24,1216,2008,103.61
368,1:43.61,,Mohammed AMAN,10 JAN 1994,ETH,1,,"Stadio Olimpico, Roma (ITA)",2013-06-06,1216,2013,103.61
368,1:43.61,,Marco AROP,20 SEP 1998,CAN,1,,"Foote Field, Edmonton (CAN)",2022-07-03,1216,2022,103.61
368,1:43.61,,Marco AROP,20 SEP 1998,CAN,1,,"Egret Stadium, Xiamen (CHN)",2024-04-20,1216,2024,103.61
375,1:43.62,,Steve CRAM,14 OCT 1960,GBR,1,,Nice (FRA),1986-07-15,1216,1986,103.62
375,1:43.62,,Earl JONES,17 JUL 1964,USA,2,,"Letzigrund, Zürich (SUI)",1986-08-13,1216,1986,103.62
375,1:43.62,,William TANUI,22 FEB 1964,KEN,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",1992-07-08,1216,1992,103.62
375,1:43.62,,Wilfred BUNGEI,24 JUL 1980,KEN,1,,Sevilla (ESP),2003-06-07,1216,2003,103.62
375,1:43.62,,Abraham Kipchirchir ROTICH,26 SEP 1993,KEN,1,,Liège (BEL),2012-07-05,1216,2012,103.62
375,1:43.62,,Mohammed AMAN,10 JAN 1994,ETH,1,,"Olympiastadion, Berlin (GER)",2012-09-02,1216,2012,103.62
375,1:43.62,,Amel TUKA,09 JAN 1991,BIH,3,,"Stade Louis II, Monaco (MON)",2019-07-12,1216,2019,103.62
382,1:43.63,,Agberto Conceiço GUIMARĂES,18 AUG 1957,BRA,3,,Koblenz (GER),1984-08-29,1216,1984,103.63
382,1:43.63,,Joseph Mwengi MUTUA,10 DEC 1978,KEN,4,,"Stade Louis II, Monaco (MON)",2001-07-20,1216,2001,103.63
382,1:43.63,,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1f1,,Sollentuna (SWE),2013-06-27,1216,2013,103.63
382,1:43.63,,Nijel AMOS,15 MAR 1994,BOT,1f1,,"Hayward Field, Eugene, OR (USA)",2014-05-31,1216,2014,103.63
382,1:43.63,,Donavan BRAZIER,15 APR 1997,USA,1,,"Stadio Olimpico, Roma (ITA)",2019-06-06,1216,2019,103.63
382,1:43.63,,Elliot GILES,26 MAY 1994,GBR,1,,"Arena, Toruń (POL) (i)",2021-02-17,1275,2021,103.63
388,1:43.64,,Alberto JUANTORENA,03 DEC 1950,CUB,1,,Zürich (SUI),1977-08-24,1215,1977,103.64
388,1:43.64,,Sebastian COE,29 SEP 1956,GBR,2,,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-06,1215,1984,103.64
388,1:43.64,,Wilson KIPKETER,12 DEC 1972,KEN,1,,Göteborg (SWE),1994-08-24,1215,1994,103.64
388,1:43.64,,Japheth KIMUTAI,20 DEC 1978,KEN,3f2,,Zürich (SUI),1997-08-13,1215,1997,103.64
388,1:43.64,,Wilfred BUNGEI,24 JUL 1980,KEN,1f2,,Zürich (SUI),2002-08-16,1215,2002,103.64
388,1:43.64,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1f1,,Madrid (ESP),2008-07-05,1215,2008,103.64
388,1:43.64,,Hobbs KESSLER,15 MAR 2003,USA,2,,"Hayward Field, Eugene, OR (USA)",2024-06-30,1215,2024,103.64
395,1:43.65,,Willi WÜLBECK,18 DEC 1954,FRG,1,,"Olympiastadion, Helsinki (FIN)",1983-08-09,1215,1983,103.65
395,1:43.65,,Laban ROTICH,20 JAN 1969,KEN,4,,Stuttgart (GER),1998-07-19,1215,1998,103.65
