Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
190,1:56.71,,Mary MORAA,15 JUN 2000,KEN,3,,"Hayward Field, Eugene, OR (USA)",2022-07-24,1222,2022,116.71000000000001
190,1:56.71,,Mary MORAA,15 JUN 2000,KEN,2,,"Hayward Field, Eugene, OR (USA)",2024-05-25,1222,2024,116.71000000000001
197,1:56.72,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,2,,"Letzigrund, Zürich (SUI)",1985-08-21,1222,1985,116.72
197,1:56.72,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,,"La Cartuja, Sevilla (ESP)",1999-08-24,1222,1999,116.72
197,1:56.72,,Caster SEMENYA,07 JAN 1991,RSA,1,,Bambous (MRI),2009-07-31,1222,2009,116.72
197,1:56.72,,Francine NIYONSABA,05 MAY 1993,BDI,1,,"Hayward Field, Eugene, OR (USA)",2013-06-01,1222,2013,116.72
201,1:56.73,,Hasna BENHASSI,01 JUN 1978,MAR,3,,"National Stadium, Beijing (CHN)",2008-08-18,1221,2008,116.72999999999999
201,1:56.73,,Laura MUIR,09 MAY 1993,GBR,1,,"Stade Louis II, Monaco (MON)",2021-07-09,1221,2021,116.72999999999999
203,1:56.76,,Ella KOVÁCS,11 DEC 1964,ROU,1,,Poiana Brasov (ROU),1987-09-20,1221,1987,116.75999999999999
203,1:56.76,,Svetlana MASTERKOVA,17 JAN 1968,RUS,2f1,,Zürich (SUI),1993-08-04,1221,1993,116.75999999999999
203,1:56.76,,Pamela JELIMO,05 DEC 1989,KEN,1f1,,Heusden-Zolder (BEL),2012-07-07,1221,2012,116.75999999999999
203,1:56.76,,Francine NIYONSABA,05 MAY 1993,BDI,2,,"Letzigrund, Zürich (SUI)",2016-09-01,1221,2016,116.75999999999999
207,1:56.77,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2006-07-11,1221,2006,116.77000000000001
208,1:56.78,,Lyudmila BORISOVA,30 JUL 1959,URS,3,,Kiev (URS),1984-06-22,1221,1984,116.78
208,1:56.78,,Jearl MILES-CLARK,04 SEP 1966,USA,3,,Bruxelles (BEL),1997-08-22,1221,1997,116.78
210,1:56.79,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Stade Louis II, Monaco (MON)",1997-08-16,1220,1997,116.78999999999999
211,1:56.80,,Ana Fidelia QUIROT,23 MAR 1963,CUB,3,,"Estadio Olímpico, Barcelona (ESP)",1992-08-03,1220,1992,116.8
211,1:56.80,,Kelly HOLMES,19 APR 1970,GBR,3,,"Olympic Stadium, Sydney (AUS)",2000-09-25,1220,2000,116.8
213,1:56.81,,Anita WEIß,16 JUL 1955,GDR,1,,Warszawa (POL),1976-08-19,1220,1976,116.81
213,1:56.81,,Tatyana PROVIDOKHINA,26 MAR 1953,URS,3,,Leningrad (URS),1983-07-27,1220,1983,116.81
213,1:56.81,,Doina MELINTE,27 DEC 1956,ROU,1,,Budapest (HUN),1985-08-04,1220,1985,116.81
213,1:56.81,,Sifan HASSAN,01 JAN 1993,NED,4,,"Stade Louis II, Monaco (MON)",2017-07-21,1220,2017,116.81
213,1:56.81,,Raevyn ROGERS,07 SEP 1996,USA,3,,"National Stadium, Tokyo (JPN)",2021-08-03,1220,2021,116.81
218,1:56.82,,Lyubov GURINA,06 AUG 1957,URS,4,,Kiev (URS),1984-06-22,1220,1984,116.82
218,1:56.82,,Lyudmila ROGACHOVA,30 OCT 1966,URS,1,,Pärnu (EST),1988-07-13,1220,1988,116.82
218,1:56.82,,Sigrun WODARS,07 NOV 1965,GDR,1,,Neubrandenburg (GDR),1989-06-23,1220,1989,116.82
218,1:56.82,,Francine NIYONSABA,05 MAY 1993,BDI,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2017-07-06,1220,2017,116.82
222,1:56.83,,Liliya NURUTDINOVA,15 DEC 1963,RUS,2,,Hengelo (NED),1992-06-28,1220,1992,116.83
223,1:56.84,,Nina RUCHAYEVA,17 APR 1956,URS,2,,Moskva (URS),1984-07-19,1219,1984,116.84
223,1:56.84,,Hasna BENHASSI,01 JUN 1978,MAR,2sf3,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-26,1219,2007,116.84
225,1:56.85,,Olga RASPOPOVA,27 DEC 1978,RUS,2,,Tula (RUS),2000-07-25,1219,2000,116.85
225,1:56.85,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Letzigrund, Zürich (SUI)",2001-08-17,1219,2001,116.85
225,1:56.85,,Stephanie GRAF,26 APR 1973,AUT,1,,Gent (BEL) (i),2002-02-10,1238,2002,116.85
225,1:56.85,,Mary MORAA,15 JUN 2000,KEN,1,,"Stadion Śląski, Chorzów (POL)",2023-07-16,1219,2023,116.85
229,1:56.86,,Ajee' WILSON,08 MAY 1994,USA,2,,"Hayward Field, Eugene, OR (USA)",2018-05-26,1219,2018,116.86
230,1:56.87,,Margaret Nyairera WAMBUI,15 SEP 1995,KEN,3,,"Letzigrund, Zürich (SUI)",2017-08-24,1219,2017,116.87
231,1:56.88,,Slobodanka ČOLOVIĆ,10 JAN 1965,YUG,1,,Zagreb (CRO),1987-07-19,1219,1987,116.88
231,1:56.88,,Tatyana ANDRIANOVA,10 DEC 1979,RUS,5,,"Olympic Stadium, Athina (GRE)",2004-08-23,1219,2004,116.88
231,1:56.88,,Francine NIYONSABA,05 MAY 1993,BDI,3,,"Hayward Field, Eugene, OR (USA)",2018-05-26,1219,2018,116.88
234,1:56.89,,Sigrun WODARS,07 NOV 1965,GDR,1,,Neubrandenburg (GDR),1987-06-10,1219,1987,116.89
234,1:56.89,,Margaret Nyairera WAMBUI,15 SEP 1995,KEN,3,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-20,1219,2016,116.89
236,1:56.90,,Mary SLANEY,04 AUG 1958,USA,1,,Bern (SUI),1985-08-16,1218,1985,116.9
236,1:56.90,,Ana Fidelia QUIROT,23 MAR 1963,CUB,2,,"Stade Louis II, Monaco (MON)",1997-08-16,1218,1997,116.9
236,1:56.90,,Ludmila FORMANOVÁ,02 JAN 1974,CZE,1,,"Green Dome, Maebashi (JPN) (i)",1999-03-07,1237,1999,116.9
236,1:56.90,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Zürich (SUI),2000-08-11,1218,2000,116.9
236,1:56.90,,Jemma REEKIE,06 MAR 1998,GBR,4,,"National Stadium, Tokyo (JPN)",2021-08-03,1218,2021,116.9
241,1:56.91,,Kim GALLAGHER,11 JUN 1964,USA,3,,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-26,1218,1988,116.91
241,1:56.91,,Tatyana ANDRIANOVA,10 DEC 1979,RUS,1,,Oslo (NOR),2005-07-29,1218,2005,116.91
241,1:56.91,,Zulia CALATAYUD,09 NOV 1979,CUB,3f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2006-07-11,1218,2006,116.91
244,1:56.92,,Ella KOVÁCS,11 DEC 1964,ROU,2,,Praha (TCH),1985-06-22,1218,1985,116.92
244,1:56.92,,Ellen VAN LANGEN,09 FEB 1966,NED,1,,Hechtel (BEL),1992-07-18,1218,1992,116.92
244,1:56.92,,Francine NIYONSABA,05 MAY 1993,BDI,1,,"Alexander Stadium, Birmingham (GBR)",2016-06-05,1218,2016,116.92
247,1:56.93,,Jearl MILES-CLARK,04 SEP 1966,USA,4,,Zürich (SUI),1997-08-13,1218,1997,116.93
247,1:56.93,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Olympiastadion, Berlin (GER)",1997-08-26,1218,1997,116.93
247,1:56.93,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,,Fukuoka (JPN),1997-09-13,1218,1997,116.93
247,1:56.93,,Svetlana MASTERKOVA,17 JAN 1968,RUS,3,,"La Cartuja, Sevilla (ESP)",1999-08-24,1218,1999,116.93
247,1:56.93,,Svetlana CHERKASOVA,20 MAY 1978,RUS,1f2,,Kazan (RUS),2005-06-25,1218,2005,116.93
252,1:56.94,,Svetlana KLYUKA,27 DEC 1978,RUS,4,,"National Stadium, Beijing (CHN)",2008-08-18,1218,2008,116.94
252,1:56.94,,Pamela JELIMO,05 DEC 1989,KEN,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",2012-05-11,1218,2012,116.94
254,1:56.95,,Jolanta JANUCHTA,16 JAN 1955,POL,1,,Budapest (HUN),1980-08-11,1217,1980,116.95
254,1:56.95,,Kelly HOLMES,19 APR 1970,GBR,3,,"Ullevi Stadium, Göteborg (SWE)",1995-08-13,1217,1995,116.95
256,1:56.96,,Zuzana MORAVČÍKOVÁ,30 DEC 1956,TCH,1,,Leipzig (GER),1983-07-27,1217,1983,116.96000000000001
256,1:56.96,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1f1,,"Letzigrund, Zürich (SUI)",1988-08-17,1217,1988,116.96000000000001
256,1:56.96,,Liu LI,12 MAR 1971,CHN,1h2,,Beijing (CHN),1993-09-08,1217,1993,116.96000000000001
256,1:56.96,,Jemma REEKIE,06 MAR 1998,GBR,2,,"Stade Louis II, Monaco (MON)",2021-07-09,1217,2021,116.96000000000001
260,1:56.97,,Valentina PARKHUTA-ZHUKOVA,27 OCT 1959,URS,5,,Kiev (URS),1984-06-22,1217,1984,116.97
261,1:56.98,,Anita WEIß,16 JUL 1955,GDR,1,,Warszawa (POL),1978-08-13,1217,1978,116.97999999999999
261,1:56.98,,Lyudmila VESELKOVA,25 OCT 1950,URS,1,,Leningrad (URS),1981-07-25,1217,1981,116.97999999999999
261,1:56.98,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Stockholm (SWE),2000-08-01,1217,2000,116.97999999999999
261,1:56.98,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,3sf3,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-26,1217,2007,116.97999999999999
261,1:56.98,,Natoya GOULE,30 MAR 1991,JAM,1,,"Stade Louis II, Monaco (MON)",2022-08-10,1217,2022,116.97999999999999
266,1:56.99,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Harare (ZIM),1995-09-18,1217,1995,116.99000000000001
266,1:56.99,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Stade Louis II, Monaco (MON)",1999-08-04,1217,1999,116.99000000000001
266,1:56.99,,Hasna BENHASSI,01 JUN 1978,MAR,2,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-28,1217,2007,116.99000000000001
266,1:56.99,,Eunice Jepkoech SUM,10 APR 1988,KEN,1,,"Stade de France, Paris-St-Denis (FRA)",2015-07-04,1217,2015,116.99000000000001
270,1:57.00,,Ella KOVÁCS,11 DEC 1964,ROU,3f1,,Zürich (SUI),1993-08-04,1217,1993,117.0
270,1:57.00,,Chunyu WANG,17 JAN 1995,CHN,5,,"National Stadium, Tokyo (JPN)",2021-08-03,1217,2021,117.0
272,1:57.01,,Melissa BISHOP-NRIAGU,05 AUG 1988,CAN,5,,"Stade Louis II, Monaco (MON)",2017-07-21,1216,2017,117.00999999999999
272,1:57.01,,Athing MU,08 JUN 2002,USA,1,,"Stadio Olimpico, Roma (ITA)",2022-06-09,1216,2022,117.00999999999999
274,1:57.02,,Melissa BISHOP-NRIAGU,05 AUG 1988,CAN,4,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-20,1216,2016,117.02000000000001
274,1:57.02,,Diribe WELTEJI,13 MAY 2002,ETH,4,,"Hayward Field, Eugene, OR (USA)",2022-07-24,1216,2022,117.02000000000001
276,1:57.03,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Hechtel (BEL),1998-08-01,1216,1998,117.03
276,1:57.03,,Margaret Nyairera WAMBUI,15 SEP 1995,KEN,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",2017-05-05,1216,2017,117.03
278,1:57.04,,Patricia DJATÉ-TAILLARD,03 JAN 1971,FRA,4,,"Ullevi Stadium, Göteborg (SWE)",1995-08-13,1216,1995,117.03999999999999
278,1:57.04,,Meredith RAINEY-VALMON,15 OCT 1968,USA,1,,"Atlanta, GA (USA)",1996-06-17,1216,1996,117.03999999999999
278,1:57.04,,Yelena AFANASYEVA,01 MAR 1967,RUS,3,,"Stade Louis II, Monaco (MON)",1997-08-16,1216,1997,117.03999999999999
278,1:57.04,,Margaret Nyairera WAMBUI,15 SEP 1995,KEN,3,,"Letzigrund, Zürich (SUI)",2016-09-01,1216,2016,117.03999999999999
282,1:57.05,,Sigrun LUDWIGS,07 NOV 1965,GDR,1,,Jena (GDR),1986-06-28,1216,1986,117.05
282,1:57.05,,Habitam ALEMU,09 JUL 1997,ETH,4,,"Letzigrund, Zürich (SUI)",2017-08-24,1216,2017,117.05
284,1:57.06,,Ulrike BRUNS,17 NOV 1953,GDR,1,,Berlin (GER),1976-07-10,1215,1976,117.06
284,1:57.06,,Doina MELINTE,27 DEC 1956,ROU,1,,Bucureşti (ROU),1983-06-05,1215,1983,117.06
284,1:57.06,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Liévin (FRA) (i),1999-02-21,1235,1999,117.06
287,1:57.07,,Yekaterina PODKOPAYEVA,11 JUN 1952,URS,2,,Potsdam (GDR),1984-07-21,1215,1984,117.07
287,1:57.07,,Letitia VRIESDE,05 OCT 1964,SUR,3f1,,Zürich (SUI),1995-08-16,1215,1995,117.07
287,1:57.07,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1f1,,Zürich (SUI),1996-08-14,1215,1996,117.07
287,1:57.07,,Stephanie GRAF,26 APR 1973,AUT,5,,Zürich (SUI),1999-08-11,1215,1999,117.07
287,1:57.07,,Yuliya CHIZHENKO,30 AUG 1979,RUS,1,,Tula (RUS),2006-06-14,1215,2006,117.07
287,1:57.07,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1,,Rieti (ITA),2006-08-27,1215,2006,117.07
287,1:57.07,,Mary MORAA,15 JUN 2000,KEN,1,,"Alexander Stadium, Birmingham (GBR)",2022-08-06,1215,2022,117.07
294,1:57.08,,Ravilya AGLETDINOVA,10 FEB 1960,URS,4,,Leningrad (URS),1983-07-27,1215,1983,117.08
294,1:57.08,,Galina ZAKHAROVA,07 SEP 1956,URS,1,,Baku (AZE),1984-09-16,1215,1984,117.08
296,1:57.09,,Christine WACHTEL,06 JAN 1965,GDR,1,,Potsdam (GDR),1987-06-05,1215,1987,117.09
296,1:57.09,,Christine WACHTEL,06 JAN 1965,GDR,1,,Jena (GDR),1988-06-03,1215,1988,117.09
296,1:57.09,,Letitia VRIESDE,05 OCT 1964,SUR,3,,Monaco (MON),1996-08-10,1215,1996,117.09
299,1:57.10,,Lyubov GURINA,06 AUG 1957,URS,2,,Stuttgart (GER),1983-08-17,1215,1983,117.1
299,1:57.10,,Sigrun WODARS,07 NOV 1965,GDR,1,,Helsinki (FIN),1989-06-29,1215,1989,117.1
299,1:57.10,,Lyubov GURINA,06 AUG 1957,RUS,2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-17,1215,1993,117.1
302,1:57.11,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Stade Louis II, Monaco (MON)",2001-07-20,1214,2001,117.11
302,1:57.11,,Ajee' WILSON,08 MAY 1994,USA,3,,"Stade Charléty, Paris (FRA)",2018-06-30,1214,2018,117.11
304,1:57.12,,Tatyana PROVIDOKHINA,26 MAR 1953,URS,2,,Warszawa (POL),1976-08-19,1214,1976,117.12
304,1:57.12,,Doina MELINTE,27 DEC 1956,ROU,3,,"Letzigrund, Zürich (SUI)",1985-08-21,1214,1985,117.12
304,1:57.12,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Stockholm (SWE),1999-07-30,1214,1999,117.12
304,1:57.12,,Sifan HASSAN,01 JAN 1993,NED,5,,"Letzigrund, Zürich (SUI)",2017-08-24,1214,2017,117.12
308,1:57.13,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Liévin (FRA) (i),1996-02-18,1233,1996,117.13
309,1:57.14,,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,1,,Belfast (GBR),1985-06-24,1214,1985,117.14
309,1:57.14,,Kelly HOLMES,19 APR 1970,GBR,1,,Stockholm (SWE),1997-07-07,1214,1997,117.14
309,1:57.14,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,"Olympic Stadium, Athina (GRE)",1997-08-09,1214,1997,117.14
312,1:57.15,,Nadezhda OLIZARENKO,28 NOV 1953,URS,1,,"Neckarstadion, Stuttgart (GER)",1986-08-28,1214,1986,117.15
312,1:57.15,,Jearl MILES-CLARK,04 SEP 1966,USA,2,,Stockholm (SWE),1998-08-05,1214,1998,117.15
312,1:57.15,,Natalya TSYGANOVA,07 FEB 1971,RUS,6,,Zürich (SUI),1999-08-11,1214,1999,117.15
315,1:57.16,,Martina KÄMPFERT-STEUK,11 NOV 1959,GDR,1,,Zagreb (CRO),1981-08-15,1214,1981,117.16
315,1:57.16,,Letitia VRIESDE,05 OCT 1964,SUR,4,,"Stade Louis II, Monaco (MON)",1995-09-09,1214,1995,117.16
315,1:57.16,,Ana Fidelia QUIROT,23 MAR 1963,CUB,5,,"Stade Louis II, Monaco (MON)",1995-09-09,1214,1995,117.16
315,1:57.16,,Ajee' WILSON,08 MAY 1994,USA,2,,Ostrava (CZE),2018-09-09,1214,2018,117.16
315,1:57.16,,Athing MU,08 JUN 2002,USA,1,,"Hayward Field, Eugene, OR (USA)",2022-06-26,1214,2022,117.16
320,1:57.17,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,,"Green Dome, Maebashi (JPN) (i)",1999-03-07,1233,1999,117.17
320,1:57.17,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Commonwealth Stadium, Edmonton (CAN)",2001-08-12,1213,2001,117.17
320,1:57.17,,Habitam ALEMU,09 JUL 1997,ETH,4,,"Stade Charléty, Paris (FRA)",2018-06-30,1213,2018,117.17
323,1:57.18,,Lyubov KIRYUKHINA,19 MAY 1963,URS,1,,Kiev (URS),1986-07-16,1213,1986,117.18
323,1:57.18,,Sigrun WODARS,07 NOV 1965,GDR,1f1,,Zürich (SUI),1990-08-15,1213,1990,117.18
323,1:57.18,,Yuan WANG,08 APR 1976,CHN,2h2,,Beijing (CHN),1993-09-08,1213,1993,117.18
323,1:57.18,,Liu LI,12 MAR 1971,CHN,3,,Beijing (CHN),1993-09-09,1213,1993,117.18
323,1:57.18,,Jolanda ČEPLAK,12 SEP 1976,SLO,2,,Gent (BEL) (i),2002-02-10,1233,2002,117.18
323,1:57.18,,Keely HODGKINSON,03 MAR 2002,GBR,1,,"Utilita Arena Birmingham, Birmingham (GBR) (i)",2023-02-25,1233,2023,117.18
329,1:57.19,,Christine WACHTEL,06 JAN 1965,GDR,1,,Berlin (GDR),1985-09-22,1213,1985,117.19
329,1:57.19,,Ella KOVÁCS,11 DEC 1964,ROU,3,,Hengelo (NED),1992-06-28,1213,1992,117.19
329,1:57.19,,Yekaterina KOSTETSKAYA,31 DEC 1986,RUS,1,,Cheboksary (RUS),2011-07-22,1213,2011,117.19
332,1:57.20,,Hildegard ULLRICH-KÖRNER,20 DEC 1959,GDR,5,,"Lenin Stadium, Moskva (URS)",1980-07-27,1213,1980,117.2
332,1:57.20,,Tatyana KAZANKINA,17 DEC 1951,URS,h,,Donetsk (URS),1984-09-07,1213,1984,117.2
332,1:57.20,,Inna YEVSEYEVA,14 AUG 1964,EUN,4,,"Estadio Olímpico, Barcelona (ESP)",1992-08-03,1213,1992,117.2
332,1:57.20,,Stephanie GRAF,26 APR 1973,AUT,2,,"Commonwealth Stadium, Edmonton (CAN)",2001-08-12,1213,2001,117.2
332,1:57.20,,Kate GRACE,24 OCT 1988,USA,3,,"Stade Louis II, Monaco (MON)",2021-07-09,1213,2021,117.2
332,1:57.20,,Keely HODGKINSON,03 MAR 2002,GBR,1,,"Utilita Arena Birmingham, Birmingham (GBR) (i)",2022-02-19,1232,2022,117.2
338,1:57.21,,Svetla ZLATEVA-KOLEVA,25 FEB 1952,BUL,6,,"Olympic Stadium, Montréal (CAN)",1976-07-26,1213,1976,117.21000000000001
338,1:57.21,,Sigrun WODARS,07 NOV 1965,GDR,1sf1,,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-25,1213,1988,117.21000000000001
338,1:57.21,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Stadio Olimpico, Roma (ITA)",2003-07-11,1213,2003,117.21000000000001
338,1:57.21,,Svetlana KLYUKA,27 DEC 1978,RUS,2,,Tula (RUS),2006-06-14,1213,2006,117.21000000000001
342,1:57.22,,Olga MINEYEVA,01 OCT 1952,URS,1,,Moskva (URS),1982-06-12,1212,1982,117.22
342,1:57.22,,Margrit KLINGER,22 JUN 1960,FRG,3,,"Olympic Stadium, Athina (GRE)",1982-09-08,1212,1982,117.22
342,1:57.22,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1,,"International Stadium, Gateshead (GBR)",2006-06-11,1212,2006,117.22
345,1:57.23,,Sigrun WODARS,07 NOV 1965,GDR,2,,Potsdam (GDR),1987-06-05,1212,1987,117.22999999999999
345,1:57.23,,Svetlana MASTERKOVA,17 JAN 1968,URS,1,,Kiev (URS),1991-07-11,1212,1991,117.22999999999999
345,1:57.23,,Inna YEVSEYEVA,14 AUG 1964,UKR,1,,Moskva (RUS) (i),1992-02-01,1232,1992,117.22999999999999
345,1:57.23,,Svetlana CHERKASOVA,20 MAY 1978,RUS,3,,Tula (RUS),2006-06-14,1212,2006,117.22999999999999
345,1:57.23,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Olympic Stadium, London (GBR)",2012-08-11,1212,2012,117.22999999999999
345,1:57.23,,Ajee' WILSON,08 MAY 1994,USA,2,,"Hayward Field, Eugene, OR (USA)",2022-06-26,1212,2022,117.22999999999999
351,1:57.24,,Irina PODYALOVSKAYA,19 OCT 1959,URS,1,,Sochi (URS),1984-05-27,1212,1984,117.24000000000001
351,1:57.24,,Natalya DUKHNOVA,16 JUL 1966,BLR,1,,Gomel (BLR),1996-06-22,1212,1996,117.24000000000001
351,1:57.24,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Zürich (SUI),2002-08-16,1212,2002,117.24000000000001
351,1:57.24,,Olga KOTLYAROVA,12 APR 1976,RUS,4,,Tula (RUS),2006-06-14,1212,2006,117.24000000000001
351,1:57.24,,Pamela JELIMO,05 DEC 1989,KEN,2,,"Boudewijnstadion, Bruxelles (BEL)",2012-09-07,1212,2012,117.24000000000001
356,1:57.25,,Lyudmila VESELKOVA,25 OCT 1950,URS,2,,Zagreb (CRO),1981-08-15,1212,1981,117.25
356,1:57.25,,Liliya NURUTDINOVA,15 DEC 1963,URS,2,,Kiev (URS),1990-07-07,1212,1990,117.25
356,1:57.25,,Doina MELINTE,27 DEC 1956,ROU,4,,Hengelo (NED),1992-06-28,1212,1992,117.25
356,1:57.25,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Bislett Stadion, Oslo (NOR)",2018-06-07,1212,2018,117.25
360,1:57.26,,Elżbieta KATOLIK,09 OCT 1949,POL,2,,Budapest (HUN),1980-08-11,1212,1980,117.25999999999999
360,1:57.26,,Ana Fidelia QUIROT,23 MAR 1963,CUB,2,,Beograd (SRB),1987-06-17,1212,1987,117.25999999999999
360,1:57.26,,Francine NIYONSABA,05 MAY 1993,BDI,1,,"Stade de France, Paris-St-Denis (FRA)",2013-07-06,1212,2013,117.25999999999999
360,1:57.26,,Prudence SEKGODISO,05 JAN 2002,RSA,1,,"Le Grand Stade, Marrakech (MAR)",2024-05-19,1212,2024,117.25999999999999
364,1:57.27,,Lyubov GURINA,06 AUG 1957,URS,1,,Bryansk (URS),1987-07-17,1212,1987,117.27000000000001
364,1:57.27,,Dalia MATUSEVIČIENĖ,12 NOV 1962,URS,4,,"Estadio Olímpico, Barcelona (ESP)",1989-09-09,1212,1989,117.27000000000001
364,1:57.27,,Jearl MILES-CLARK,04 SEP 1966,USA,6,,"Olympic Stadium, Athina (GRE)",2004-08-23,1212,2004,117.27000000000001
367,1:57.28,,Svetlana STYRKINA,1949,URS,1sf2,,"Olympic Stadium, Montréal (CAN)",1976-07-24,1211,1976,117.28
367,1:57.28,,Doina MELINTE,27 DEC 1956,ROU,1,,Warszawa (POL),1982-06-20,1211,1982,117.28
367,1:57.28,,Milena STRNADOVÁ,23 MAY 1961,TCH,2,,Leipzig (GER),1983-07-27,1211,1983,117.28
367,1:57.28,,Ana Fidelia QUIROT,23 MAR 1963,CUB,2f1,,Zürich (SUI),1996-08-14,1211,1996,117.28
367,1:57.28,,Yelena SOBOLEVA,03 OCT 1982,RUS,1,,"Meteor, Zhukovskiy (RUS)",2006-06-24,1211,2006,117.28
367,1:57.28,,Janeth JEPKOSGEI,13 DEC 1983,KEN,1sf3,,"National Stadium, Beijing (CHN)",2008-08-16,1211,2008,117.28
373,1:57.29,,Slobodanka ČOLOVIĆ,10 JAN 1965,YUG,2f1,,"Olympiastadion, Berlin (GER)",1987-08-21,1211,1987,117.28999999999999
374,1:57.30,,Sigrun WODARS,07 NOV 1965,GDR,2,,Jena (GDR),1988-06-03,1211,1988,117.3
374,1:57.30,,Jemma REEKIE,06 MAR 1998,GBR,1,,"Olympic Stadium, London (GBR)",2023-07-23,1211,2023,117.3
376,1:57.31,,Irina PODYALOVSKAYA,19 OCT 1959,URS,2,,Praha (TCH),1984-08-17,1211,1984,117.31
376,1:57.31,,Andrea LANGE-HAHMANN,03 JUN 1966,GDR,2,,Neubrandenburg (GDR),1987-06-10,1211,1987,117.31
376,1:57.31,,Tina PAULINO,07 JUL 1973,MOZ,1sf2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-15,1211,1993,117.31
376,1:57.31,,Pamela JELIMO,05 DEC 1989,KEN,1sf2,,"National Stadium, Beijing (CHN)",2008-08-16,1211,2008,117.31
380,1:57.32,,Fita LOVIN,14 JAN 1951,ROU,1,,Sofia (BUL),1980-08-25,1211,1980,117.32
380,1:57.32,,Stephanie GRAF,26 APR 1973,AUT,2,,Stockholm (SWE),2000-08-01,1211,2000,117.32
380,1:57.32,,Yuliya KREVSUN,08 DEC 1980,UKR,2sf3,,"National Stadium, Beijing (CHN)",2008-08-16,1211,2008,117.32
383,1:57.33,,Larisa CHZHAO,04 FEB 1971,RUS,2,,Tula (RUS),2005-07-11,1210,2005,117.33
384,1:57.34,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Nice (FRA),1991-07-15,1210,1991,117.34
384,1:57.34,,Stephanie GRAF,26 APR 1973,AUT,2,,Zürich (SUI),2000-08-11,1210,2000,117.34
384,1:57.34,,Tetyana PETLYUK,22 FEB 1982,UKR,1,,Kyiv (UKR),2006-06-15,1210,2006,117.34
384,1:57.34,,Alysia MONTAÑO,23 APR 1986,USA,1,,"Stade Louis II, Monaco (MON)",2010-07-22,1210,2010,117.34
388,1:57.35,,Nikolina SHTEREVA,21 JAN 1955,BUL,2sf2,,"Olympic Stadium, Montréal (CAN)",1976-07-24,1210,1976,117.35
388,1:57.35,,Christine WACHTEL,06 JAN 1965,GDR,1,,Berlin (GER),1987-07-08,1210,1987,117.35
388,1:57.35,,Tatyana GREBENCHUK,22 NOV 1962,URS,3,,Kiev (URS),1990-07-07,1210,1990,117.35
388,1:57.35,,Christine WACHTEL,06 JAN 1965,GDR,2f1,,Zürich (SUI),1990-08-15,1210,1990,117.35
388,1:57.35,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,London (GBR),1993-09-10,1210,1993,117.35
